product name,ratings,date,asin,target
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,20/12/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,11/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,05/01/2015,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,14/06/2014,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,08/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,19/03/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,12/07/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,05/12/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,01/10/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,07/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,24/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,11/08/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,21/03/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,30/12/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,29/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,25/06/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,04/03/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,20/04/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,30/08/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,01/08/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,06/05/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,14/06/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,24/01/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,24/05/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,16/12/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,10/03/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,15/06/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,30/08/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,19/11/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,13/08/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,05/10/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,17/03/2016,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,13/06/2013,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,01/03/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,13/07/2020,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,12/07/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,29/07/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,13/01/2020,B000P22TIY,p
